,name,company,year,Price,kms_driven,fuel_type
91,City 1.5 EXi New,Honda,2005.0,90000.0,50000,Petrol
93,Fabia 1.2L Diesel Elegance,Skoda,2011.0,155000.0,45863,Diesel
94,3 Series 320i,BMW,2011.0,600000.0,60500,Petrol
95,Suzuki A Star Lxi,Maruti,2011.0,189500.0,12500,Petrol
96,Etios GD,Toyota,2013.0,350000.0,60000,Diesel
97,Figo Diesel EXI Option,Ford,2012.0,210000.0,35000,Diesel
98,Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2014.0,390000.0,35000,Petrol
99,Beat LT Diesel,Chevrolet,2012.0,135000.0,45000,Diesel
100,7 Series 740Li Sedan,BMW,2009.0,1600000.0,35000,Petrol
101,XUV500 W8 AWD 2013,Mahindra,2013.0,701000.0,38000,Diesel
102,i10 Magna 1.2,Hyundai,2014.0,265000.0,18000,Petrol
103,Verna Fluidic New,Hyundai,2015.0,525000.0,35000,Diesel
104,Suzuki Swift VXi 1.2 BS IV,Maruti,2013.0,372000.0,13349,Petrol
105,Suzuki Ertiga ZXI Plus,Maruti,2016.0,635000.0,29000,Petrol
106,EcoSport Titanium 1.5L TDCi,Ford,2014.0,550000.0,44000,Diesel
107,Suzuki Ertiga Vxi,Maruti,2016.0,575000.0,29000,Petrol
108,Suzuki Ertiga VDi,Maruti,2013.0,485000.0,42000,Diesel
109,Suzuki Alto LXi BS III,Maruti,2012.0,155000.0,14000,Petrol
110,Grand i10 Asta 1.1 CRDi,Hyundai,2014.0,345000.0,49000,Diesel
111,Amaze 1.2 S i VTEC,Honda,2014.0,325000.0,42000,Petrol
112,i20 Asta 1.4 CRDI 6 Speed,Hyundai,2012.0,329500.0,36200,Diesel
113,Figo Diesel EXI,Ford,2014.0,195000.0,50000,Diesel
114,Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015.0,251111.0,55000,Petrol
115,Suzuki Ertiga ZXi,Maruti,2014.0,569999.0,45000,Petrol
116,Suzuki Esteem LXi BS III,Maruti,2007.0,69999.0,51000,Petrol
117,Suzuki Ritz VXI,Maruti,2014.0,299999.0,19000,Petrol
118,Suzuki Dzire,Maruti,2009.0,220000.0,46000,Petrol
119,Suzuki Ritz LDi,Maruti,2013.0,399999.0,33000,Diesel
121,Suzuki Dzire VDI,Maruti,2015.0,450000.0,104000,Diesel
122,Etios Liva G,Toyota,2014.0,270000.0,55000,Petrol
123,i20 Sportz 1.4 CRDI,Hyundai,2011.0,350000.0,33333,Diesel
124,Spark,Chevrolet,2012.0,158400.0,33600,Petrol
125,Suzuki Alto K10 VXi AMT,Maruti,2017.0,350000.0,5600,Petrol
126,Micra XV,Nissan,2011.0,179000.0,41000,Petrol
127,Suzuki Swift,Maruti,2007.0,125000.0,70000,Petrol
128,Suzuki Alto 800,Maruti,2018.0,200000.0,7500,Petrol
129,Amaze 1.5 S i DTEC,Honda,2013.0,299000.0,45000,Diesel
130,Suzuki Alto 800 Vxi,Maruti,2015.0,220000.0,38000,Petrol
131,Beat,Chevrolet,2015.0,150000.0,30000,Petrol
133,City 1.5 V MT,Honda,2010.0,285000.0,35000,Petrol
134,EcoSport Trend 1.5L TDCi,Ford,2016.0,830000.0,24330,Diesel
135,i20 Asta 1.2,Hyundai,2009.0,210000.0,65480,Petrol
136,Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2013.0,340000.0,41000,Petrol
137,Indica V2 eLS,Tata,2006.0,90000.0,20000,Petrol
139,Motors Ambassador,Hindustan,2000.0,70000.0,200000,Diesel
140,Corolla Altis 1.8 GL,Toyota,2010.0,289999.0,70000,Petrol
141,Corolla Altis 1.8 J,Toyota,2012.0,349999.0,59000,Petrol
142,Innova 2.5 GX BS IV 7 STR,Toyota,2012.0,849999.0,99000,Diesel
143,Jetta Highline TDI AT,Volkswagen,2014.0,749999.0,46000,Diesel
144,Polo Comfortline 1.2L P,Volkswagen,2015.0,399999.0,2800,Petrol
145,Polo,Volkswagen,2014.0,274999.0,32000,Petrol
146,Scorpio,Mahindra,2015.0,984999.0,22000,Diesel
149,Sunny,Nissan,2012.0,224999.0,45000,Petrol
150,Elite i20,Hyundai,2018.0,599999.0,21000,Petrol
151,Kwid,Renault,2016.0,244999.0,11000,Petrol
152,Duster,Renault,2013.0,399999.0,41000,Diesel
154,Duster,Renault,2014.0,474999.0,50000,Diesel
155,Scorpio VLX Airbag,Mahindra,2011.0,499999.0,66000,Diesel
156,Suzuki Alto 800 Lxi,Maruti,2018.0,310000.0,3000,Petrol
157,Spark LT 1.0,Chevrolet,2010.0,85000.0,45000,Petrol
158,Redi GO T O,Datsun,2016.0,245000.0,7000,Petrol
159,Suzuki Swift RS VDI,Maruti,2010.0,189500.0,38500,Diesel
160,Punto Emotion 1.2,Fiat,2012.0,169500.0,37200,Diesel
161,Suzuki Swift RS VDI,Maruti,2010.0,159500.0,43200,Diesel
162,Etios GD,Toyota,2013.0,275000.0,24800,Petrol
163,i20 Sportz 1.4 CRDI,Hyundai,2014.0,370000.0,60000,Diesel
164,i10 Sportz 1.2,Hyundai,2010.0,168000.0,45872,Petrol
165,Beat LT Opt Diesel,Chevrolet,2011.0,150000.0,40000,Diesel
166,Beat LS Diesel,Chevrolet,2011.0,145000.0,45000,Diesel
167,Beat LT Diesel,Chevrolet,2012.0,98500.0,38000,Diesel
169,Indigo CS,Tata,2011.0,85000.0,11400,Diesel
170,Corolla Altis 1.8 J,Toyota,2015.0,575000.0,42000,Petrol
171,City 1.5 V MT,Honda,2014.0,549000.0,39000,Petrol
172,Suzuki Swift VDi,Maruti,2011.0,209000.0,47000,Diesel
173,Eon Era Plus,Hyundai,2013.0,185000.0,27000,Petrol
174,Scorpio S10,Mahindra,2015.0,900000.0,97200,Diesel
175,XUV500,Mahindra,2014.0,699999.0,52000,Diesel
177,Fiesta,Ford,2011.0,274999.0,55000,Diesel
179,City,Honda,2015.0,599999.0,30000,Diesel
180,Suzuki Wagon R,Maruti,2012.0,199999.0,44000,Petrol
181,City,Honda,2014.0,544999.0,45000,Diesel
182,i20,Hyundai,2009.0,199000.0,31000,Petrol
183,Indigo eCS LX TDI BS III,Tata,2016.0,320000.0,175430,Diesel
184,Fluidic Verna 1.6 CRDi SX,Hyundai,2015.0,540000.0,38000,Diesel
186,Quanto C8,Mahindra,2013.0,340000.0,37000,Diesel
187,Petra ELX 1.2 PS,Fiat,2008.0,75000.0,65000,Petrol
190,Santro Xing XS,Hyundai,2005.0,49000.0,7500,Petrol
191,Suzuki Ciaz VXi Plus,Maruti,2016.0,700000.0,3350,Petrol
192,Suzuki Zen VX,Maruti,2000.0,55000.0,60000,Petrol
194,Creta 1.6 SX Plus Petrol,Hyundai,2017.0,895000.0,32000,Petrol
196,Scorpio SLX,Mahindra,2007.0,355000.0,75000,Diesel
197,Scorpio SLE BS IV,Mahindra,2012.0,565000.0,62000,Diesel
198,Innova 2.5 G BS III 8 STR,Toyota,2006.0,365000.0,73000,Diesel
199,Suzuki Alto K10 VXi AMT,Maruti,2011.0,145000.0,41000,Petrol
200,Suzuki Wagon R LXI BS IV,Maruti,2011.0,210000.0,35000,Petrol
201,Nano Cx BSIV,Tata,2013.0,40000.0,2200,Petrol
202,Suzuki Alto Std BS IV,Maruti,2013.0,125000.0,39000,Petrol
203,Suzuki Wagon R LXi BS III,Maruti,2009.0,135000.0,45000,Petrol
204,Suzuki Swift VXI BSIII,Maruti,2006.0,135000.0,45000,Petrol
205,Sumo Victa EX 10 by 7 Str BSIII,Tata,2012.0,285000.0,65000,Diesel
207,Suzuki Wagon R LXi BS III,Maruti,2010.0,145000.0,54870,Petrol
208,Suzuki Alto LXi BS III,Maruti,2010.0,135000.0,34580,Petrol
209,Passat Diesel Comfortline AT,Volkswagen,2009.0,450000.0,97000,Diesel
210,Scala RxL Diesel Travelogue,Renault,2015.0,375000.0,25000,Diesel
212,Grand i10 Sportz O 1.2 Kappa VTVT,Hyundai,2014.0,365000.0,20000,Petrol
213,i20 Active 1.2 SX,Hyundai,2015.0,500000.0,18000,Petrol
214,Xylo E4,Mahindra,2012.0,400000.0,35000,Diesel
217,Bolero SLE BS IV,Mahindra,2013.0,330000.0,80200,Diesel
218,Motors  One LX ABS 7 STR,Force,2015.0,580000.0,3200,Diesel
219,Suzuki SX4,Maruti,2012.0,265000.0,46000,Diesel
221,Suzuki Alto 800,Maruti,2015.0,219000.0,5000,Petrol
223,Etios,Toyota,2011.0,275000.0,36000,Diesel
224,Polo,Volkswagen,2015.0,330000.0,38000,Diesel
225,City ZX VTEC,Honda,2008.0,110000.0,45000,Petrol
226,Suzuki Wagon R LX BS III,Maruti,2006.0,80000.0,71200,Petrol
227,City VX O MT Diesel,Honda,2016.0,519000.0,52000,Diesel
228,Thar CRDe 4x4 AC,Mahindra,2016.0,730000.0,29000,Diesel
230,A4 1.8 TFSI Multitronic Premium Plus,Audi,2009.0,699000.0,47000,Petrol
231,Benz GLA Class 200 CDI Sport,Mercedes,2015.0,2000000.0,20000,Diesel
232,Rover Freelander 2 SE,Land,2015.0,2100000.0,30000,Diesel
233,Kwid RXT,Renault,2017.0,340000.0,5000,Petrol
234,Aria Pleasure 4X2,Tata,2014.0,390000.0,35000,Diesel
235,Benz B Class B180 Sports,Mercedes,2014.0,1400000.0,31000,Petrol
236,GO T O,Datsun,2016.0,245000.0,7000,Petrol
238,Indigo eCS LX TDI BS III,Tata,2016.0,320000.0,175400,Diesel
239,Jazz VX MT,Honda,2016.0,450000.0,41000,Petrol
240,Amaze 1.2 S i VTEC,Honda,2014.0,311000.0,33000,Petrol
242,City,Honda,2012.0,399999.0,45000,Petrol
243,City,Honda,2015.0,599999.0,39000,Diesel
247,Scorpio S4,Mahindra,2015.0,855000.0,30000,Diesel
248,i20 Active 1.4L SX O,Hyundai,2015.0,535000.0,37000,Diesel
249,Cooper S,Mini,2013.0,1891111.0,13000,Petrol
250,Suzuki Ciaz ZXI Plus,Maruti,2017.0,699000.0,14000,Petrol
251,Tavera Neo,Chevrolet,2013.0,375000.0,55000,Diesel
253,Eon Sportz,Hyundai,2012.0,178000.0,30000,Petrol
254,Sumo Gold Select Variant,Tata,2013.0,300000.0,50000,Diesel
255,Suzuki Wagon R 1.0,Maruti,2003.0,90000.0,45000,Petrol
256,Suzuki Esteem VXi BS III,Maruti,2006.0,95000.0,45000,Petrol
257,Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015.0,255000.0,9300,Petrol
258,Enjoy 1.4 LS 8 STR,Chevrolet,2013.0,245000.0,55000,Diesel
268,Suzuki Wagon R 1.0 VXi,Maruti,2015.0,289999.0,22000,Petrol
270,Terrano XL D Plus,Nissan,2015.0,499999.0,60000,Diesel
272,Duster 85 PS RxE Diesel,Renault,2014.0,489999.0,59000,Diesel
273,Duster 85 PS RxL Diesel,Renault,2015.0,549999.0,19000,Diesel
274,Suzuki Dzire ZXI,Maruti,2013.0,380000.0,30000,Petrol
275,Kwid RXT Opt,Renault,2018.0,325000.0,15000,Petrol
276,Suzuki  800 Std,Maruti,2003.0,57000.0,56758,Petrol
277,Kwid 1.0 RXT AMT,Renault,2018.0,349999.0,10000,Petrol
279,Scala RxL Diesel,Renault,2014.0,349999.0,49000,Diesel
280,Grand i10 Asta 1.2 Kappa VTVT O,Hyundai,2014.0,410000.0,41000,Petrol
281,Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2011.0,225000.0,45000,Petrol
282,Beat LS Petrol,Chevrolet,2010.0,120000.0,43000,Petrol
284,Santro Xing XO eRLX Euro III,Hyundai,2000.0,59000.0,56450,Petrol
287,Beat LS Petrol,Chevrolet,2010.0,80000.0,56000,Petrol
290,Beat LS Petrol,Chevrolet,2015.0,220000.0,32700,Petrol
292,EcoSport Titanium 1.5L TDCi,Ford,2016.0,599000.0,30000,Diesel
293,Accent GLX,Hyundai,2006.0,80000.0,56000,Petrol
296,TUV300 T4 Plus,Mahindra,2016.0,675000.0,9000,Diesel
299,Indica V2 Xeta e GLE,Tata,2008.0,150000.0,11000,Petrol
301,Indigo CS LS DiCOR,Tata,2009.0,72500.0,46000,Diesel
303,Scorpio VLX Special Edition BS III,Mahindra,2004.0,230000.0,160000,Diesel
305,Accord,Honda,2009.0,175000.0,58559,Petrol
308,EcoSport Titanium 1.5 TDCi,Ford,2014.0,520000.0,57000,Diesel
309,Suzuki Ertiga,Maruti,2015.0,524999.0,50000,Diesel
310,Amaze,Honda,2014.0,299999.0,37000,Petrol
311,Suzuki Dzire,Maruti,2012.0,299999.0,40000,Petrol
312,City,Honda,2011.0,284999.0,55000,Petrol
313,Scorpio 2.6 CRDe,Mahindra,2007.0,220000.0,170000,Diesel
314,Suzuki Dzire,Maruti,2014.0,424999.0,55000,Diesel
315,City,Honda,2015.0,644999.0,39000,Petrol
316,Mobilio,Honda,2014.0,399999.0,44000,Petrol
317,Corolla Altis,Toyota,2009.0,199999.0,65000,Petrol
318,City,Honda,2014.0,584999.0,39000,Petrol
319,Laura,Skoda,2012.0,349999.0,44000,Diesel
320,Duster,Renault,2015.0,449999.0,49000,Diesel
321,Suzuki Ertiga,Maruti,2018.0,799999.0,9000,Diesel
322,Suzuki Dzire,Maruti,2015.0,444999.0,45000,Diesel
323,XUV500,Mahindra,2014.0,649999.0,47000,Diesel
324,Verna Fluidic,Hyundai,2012.0,444999.0,40000,Diesel
325,Suzuki Vitara Brezza,Maruti,2016.0,689999.0,29000,Diesel
326,Suzuki Wagon R,Maruti,2016.0,344999.0,15000,Petrol
327,Scorpio,Mahindra,2015.0,944999.0,45000,Diesel
328,Amaze,Honda,2014.0,274999.0,35000,Petrol
329,XUV500,Mahindra,2013.0,689999.0,80000,Diesel
330,Scorpio,Mahindra,2013.0,574999.0,68000,Diesel
331,Laura,Skoda,2013.0,374999.0,50000,Diesel
332,Polo,Volkswagen,2010.0,199999.0,60000,Diesel
333,Elite i20,Hyundai,2016.0,549999.0,9000,Petrol
334,Manza Aura Quadrajet,Tata,2012.0,130000.0,72000,Diesel
335,Sail UVA Petrol LT ABS,Chevrolet,2013.0,210000.0,60000,Petrol
337,Verna Fluidic 1.6 VTVT SX,Hyundai,2013.0,401000.0,45000,Diesel
338,A4 2.0 TDI 177bhp Premium,Audi,2012.0,1350000.0,40000,Diesel
339,Elantra SX,Hyundai,2013.0,600000.0,20000,Petrol
340,Scorpio VLX 4WD Airbag,Mahindra,2013.0,610000.0,35000,Diesel
341,KUV100 K8 D 6 STR,Mahindra,2016.0,400000.0,20000,Diesel
347,Grand i10,Hyundai,2017.0,524999.0,6821,Petrol
348,i20,Hyundai,2014.0,449999.0,23000,Petrol
349,Eon,Hyundai,2014.0,174999.0,14000,Petrol
350,i10,Hyundai,2012.0,244999.0,38000,Petrol
351,i20 Active,Hyundai,2015.0,574999.0,35000,Diesel
352,Redi GO,Datsun,2017.0,244999.0,22000,Petrol
353,Etios Liva,Toyota,2011.0,239999.0,41000,Petrol
354,Accent,Hyundai,2010.0,99999.0,45000,Petrol
355,Verna,Hyundai,2014.0,489999.0,44000,Diesel
356,Suzuki Swift,Maruti,2013.0,324999.0,45000,Diesel
357,Fortuner,Toyota,2011.0,1074999.0,52000,Diesel
358,i10 Sportz,Hyundai,2012.0,230000.0,34000,Petrol
359,Bolero Power Plus SLE,Mahindra,2018.0,699000.0,1800,Diesel
361,XUV500,Mahindra,2015.0,1000000.0,15000,Diesel
363,Spark LT 1.0 Airbag,Chevrolet,2009.0,110000.0,44000,Petrol
366,XUV500,Mahindra,2016.0,1130000.0,72000,Diesel
367,Indigo eCS VX CR4 BS IV,Tata,2014.0,250000.0,40000,Diesel
371,Rapid Elegance 1.6 TDI CR MT,Skoda,2013.0,340000.0,48000,Diesel
372,Vista Quadrajet VX,Tata,2011.0,120000.0,90000,Diesel
373,Suzuki Alto K10 VXi AT,Maruti,2015.0,265000.0,12000,Petrol
375,Suzuki Zen LXi BS III,Maruti,2003.0,85000.0,69900,Petrol
377,i10 Magna 1.2,Hyundai,2011.0,175000.0,45000,Petrol
379,Suzuki Swift Dzire Tour LDi,Maruti,2016.0,350000.0,166000,Diesel
380,City ZX EXi,Honda,2008.0,149000.0,42000,Petrol
383,Beat Diesel,Chevrolet,2017.0,150000.0,62000,Diesel
384,City 1.5 S MT,Honda,2010.0,225000.0,70000,Petrol
386,Verna 1.4 VTVT,Hyundai,2014.0,375000.0,36000,Petrol
389,Suzuki  800 Std – Befo,Maruti,1995.0,30000.0,55000,Petrol
392,Suzuki Swift,Maruti,2014.0,335000.0,55000,Diesel
393,Elite i20 Asta 1.4 CRDI,Hyundai,2015.0,450000.0,20000,Diesel
394,Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2012.0,225000.0,40000,Petrol
396,Suzuki Versa DX2 8 SEATER BSIII,Maruti,2004.0,80000.0,50000,Petrol
397,Indigo LX TDI BS III,Tata,2016.0,130000.0,104000,Diesel
398,Vento Konekt Diesel Highline,Volkswagen,2011.0,245000.0,65000,Diesel
399,Benz C Class 200 CDI Classic,Mercedes,2002.0,399000.0,41000,Petrol
400,Suzuki Ertiga VDi,Maruti,2013.0,450000.0,90000,Diesel
402,City,Honda,2000.0,65000.0,80000,Petrol
403,Santro Xing GLS,Hyundai,2006.0,75000.0,46000,Petrol
404,Suzuki Omni Limited Edition,Maruti,2001.0,70000.0,70000,Petrol
405,Sonata Transform 2.4 GDi MT,Hyundai,2017.0,190000.0,36469,Diesel
406,Elite i20 Sportz 1.2,Hyundai,2018.0,600000.0,7800,Petrol
408,Suzuki Alto 800 Lxi,Maruti,2017.0,240000.0,60000,Petrol
409,Suzuki Alto LXi BS III,Maruti,2011.0,155000.0,32000,Petrol
410,Jazz S MT,Honda,2009.0,169999.0,24695,Petrol
411,Grand i10 Sportz 1.2 Kappa VTVT,Hyundai,2017.0,450000.0,15141,Petrol
412,Suzuki Zen LXi BSII,Maruti,2001.0,40000.0,40000,Petrol
413,Scorpio W Turbo 2.6DX 9 Seater,Mahindra,2012.0,165000.0,65000,Diesel
415,Suzuki Alto K10 VXi,Maruti,2014.0,270000.0,22000,Petrol
416,Grand i10 Asta 1.2 Kappa VTVT,Hyundai,2016.0,280000.0,59910,Diesel
417,XUV500 W8,Mahindra,2012.0,560000.0,100000,Diesel
418,Creta 1.6 SX Plus Petrol,Hyundai,2016.0,950000.0,25000,Petrol
419,i20 Magna O 1.2,Hyundai,2013.0,310000.0,35000,Petrol
420,Duster 85 PS RxL Explore LE,Renault,2015.0,715000.0,65000,Diesel
421,Grand i10 Sportz 1.2 Kappa VTVT,Hyundai,2014.0,340000.0,35000,Petrol
422,Brio V MT,Honda,2012.0,235000.0,33000,Petrol
423,TUV300 T4 Plus,Mahindra,2017.0,610000.0,68000,Diesel
424,Spark LS 1.0,Chevrolet,2010.0,95000.0,23000,Petrol
425,TUV300 T8,Mahindra,2018.0,1000000.0,4500,Diesel
426,Suzuki Swift Dzire Tour LDi,Maruti,2015.0,220000.0,129000,Diesel
428,Suzuki Alto 800 Vxi,Maruti,2015.0,230000.0,5000,Petrol
429,Ikon 1.3 CLXi NXt Finesse,Ford,2001.0,45000.0,65000,Petrol
430,Fortuner 3.0 4x4 MT,Toyota,2010.0,940000.0,131000,Diesel
431,Manza ELAN Quadrajet,Tata,2010.0,155555.0,111111,Petrol
434,Benz A Class A 180 Sport Petrol,Mercedes,2013.0,1500000.0,14000,Petrol
435,Beat LS Diesel,Chevrolet,2016.0,210000.0,22000,Diesel
436,EcoSport Trend 1.5L TDCi,Ford,2013.0,495000.0,38000,Diesel
437,Indigo LS,Tata,2016.0,125000.0,70000,Diesel
438,i20 Magna 1.2,Hyundai,2010.0,195000.0,36000,Petrol
439,Vento Highline Plus 1.5 Diesel AT,Volkswagen,2015.0,550000.0,34000,Diesel
440,Kwid RXT,Renault,2015.0,270000.0,43000,Petrol
442,EcoSport Titanium 1.5L TDCi,Ford,2014.0,500000.0,40000,Diesel
443,Amaze 1.5 E i DTEC,Honda,2016.0,240000.0,160000,Diesel
444,Verna 1.6 EX VTVT,Hyundai,2017.0,800000.0,12000,Petrol
445,5 Series 520d Sedan,BMW,2011.0,1299000.0,49000,Diesel
446,Superb 1.8 TFSI AT,Skoda,2011.0,530000.0,68000,Petrol
447,Q3 2.0 TDI quattro Premium,Audi,2013.0,1499000.0,37000,Diesel
448,Bolero DI BSII,Mahindra,2012.0,220000.0,59466,Diesel
451,Figo Duratorq Diesel Titanium 1.4,Ford,2012.0,250000.0,99000,Diesel
452,Suzuki Wagon R VXI BS IV,Maruti,2018.0,395000.0,25500,Petrol
453,Logan Diesel 1.5 DLS,Mahindra,2009.0,130000.0,66000,Petrol
454,Nano GenX XMA,Tata,2010.0,32000.0,44005,Petrol
455,TUV300 T4 Plus,Mahindra,2016.0,540000.0,35000,Diesel
457,Elite i20 Magna 1.2,Hyundai,2015.0,405000.0,28000,Petrol
458,Elite i20 Magna 1.2,Hyundai,2015.0,400000.0,30000,Petrol
459,City SV,Honda,2017.0,760000.0,4000,Petrol
460,Suzuki Baleno Delta 1.2,Maruti,2016.0,500000.0,28000,Petrol
461,Figo Petrol LXI,Ford,2011.0,175000.0,75000,Petrol
463,City,Honda,2017.0,750000.0,3000,Petrol
464,Elite i20 Magna 1.2,Hyundai,2015.0,419000.0,20000,Petrol
465,Suzuki Versa DX2 8 SEATER BSIII,Maruti,2004.0,90000.0,50000,Petrol
466,Eon Era Plus,Hyundai,2018.0,140000.0,2110,Petrol
467,Pajero Sport Limited Edition,Mitsubishi,2015.0,1540000.0,43222,Petrol
468,i10 Magna 1.2 Kappa2,Hyundai,2008.0,275000.0,100200,Petrol
469,Corolla H2,Toyota,2003.0,150000.0,100000,Petrol
471,Indigo CS eLS BS IV,Tata,2015.0,123000.0,100000,Diesel
474,Xcent Base 1.1 CRDi,Hyundai,2016.0,300000.0,140000,Diesel
476,Accent Executive Edition,Hyundai,2009.0,165000.0,48000,Petrol
477,Suzuki Baleno Delta 1.2,Maruti,2016.0,498000.0,22000,Petrol
478,Zest XE 75 PS Diesel,Tata,2018.0,480000.0,103553,Diesel
479,Suzuki Dzire LDI,Maruti,2017.0,488000.0,80000,Diesel
480,Sumo Gold LX BS IV,Tata,2014.0,250000.0,99000,Diesel
481,Corolla Altis GL Petrol,Toyota,2010.0,220000.0,58000,Petrol
482,Suzuki Eeco 7 STR,Maruti,2013.0,290000.0,70000,LPG
483,Fortuner 3.0 4x2 MT,Toyota,2015.0,1525000.0,120000,Diesel
484,XUV500 W6,Mahindra,2013.0,548900.0,49800,Diesel
486,Suzuki 800,Maruti,2001.0,55000.0,81876,Petrol
487,Suzuki Ertiga Vxi,Maruti,2015.0,550000.0,75000,Petrol
489,Mobilio S i DTEC,Honda,2014.0,399000.0,44000,Diesel
490,Suzuki Ertiga,Maruti,2016.0,730000.0,55000,Diesel
